Gene,Mouse1_Zadj,Mouse2_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_03924,1.07741646,0.35053684,-0.158065266,0.786993162,0.390903211
CNAG_03925,-2.187399414,-0.001215159,0.708947431,0.17515634,-0.230334443
CNAG_03934,0.211906904,0.559292139,-0.055418681,1.392143627,0.258899795
CNAG_03935,-0.19201552,0.644720159,0.960284663,1.643082914,0.65088734
CNAG_03938,0.903152856,-0.847624727,0.212105944,0.926853288,-0.568785861
CNAG_03945,0.216327885,0.544390217,0.227176699,-0.552809727,0.847774891
CNAG_03957,-0.370644875,0.710020299,-0.28092353,-0.46098713,0.439686371
CNAG_03958,0.543682989,0.051387513,-0.183192698,-1.293793589,-0.075661592
CNAG_03963,-3.913350926,-6.919638953,-8.574357925,-4.574639305,-4.094923097
CNAG_03966,0.155966281,-0.843499545,-1.144225357,0.51697468,-0.745833508
CNAG_03967,-2.092754349,-4.438246835,-0.561994473,-3.122495667,-6.234602426
CNAG_03971,0.991850461,0.036740639,1.367504166,0.530277361,1.128302299
CNAG_03973,0.235596304,0.58209142,-0.141422886,-1.178732795,-0.349859014
CNAG_03978,-0.240019875,0.589080719,-0.136953893,1.35128266,1.801099605
CNAG_03983,-0.77335228,-0.57352881,0.185936488,-0.205094835,-0.115514026
CNAG_03984,0.224318359,-0.560228165,0.615308467,-0.213363084,0.391307167
CNAG_03989,-2.483462859,-2.704660447,-1.863447015,-3.244865321,-4.935863719
CNAG_03990,0.604589783,0.28467977,0.679779123,0.353245985,-0.952286267
CNAG_03991,0.11748935,-0.686594583,0.012703685,0.855594846,0.289438397
CNAG_03992,0.526228718,-0.089318216,0.111252952,0.469537926,0.308251205
CNAG_03993,0.252963855,0.409259758,-0.391853148,0.174331532,0.756052033
CNAG_03995,-1.142430266,0.1937106,-0.253760904,0.141053852,0.831140666
CNAG_03999,0.250641728,-0.051158612,0.04551105,1.083877376,-0.15599391
CNAG_04002,-5.70005337,-8.82362839,-10.50959515,-8.306328103,-8.944034368
CNAG_04007,0.291294316,1.297809783,1.551521425,0.713137781,0.231171763
CNAG_04008,0.76421106,0.27738581,0.689806324,0.014360532,-1.884343224
CNAG_04013,-0.144870362,0.059413566,-0.313293201,1.344723888,0.047430238
CNAG_04017,0.656287616,-0.27907878,0.472287248,-1.562656531,0.185350658
CNAG_04028,-2.447835085,-4.176163723,-2.785675747,-2.981681186,-3.005636493
CNAG_04031,0.0959883,-0.56183481,1.095459683,-0.442777582,0.242082572
CNAG_04036,0.010114984,0.024859656,1.216441607,0.238248089,-0.009131103
CNAG_04043,0.028161999,-0.450517614,-0.30511288,-0.162180618,-0.470474497
CNAG_04049,-1.028837204,1.700469093,-1.318935751,0.602916083,-0.020318007
CNAG_04053,-0.855364457,0.891005799,1.054008769,-0.650327607,-0.919899886
CNAG_04055,-0.085081978,-1.205770367,-0.780801917,-0.617739012,-0.141171869
CNAG_04056,-0.254888492,-1.665115955,0.847614426,-0.568711806,0.757889425
CNAG_04081,-1.101969774,-1.401023343,0.384593361,-1.826089184,-2.479372214
CNAG_04084,1.037102673,0.331111002,-0.793074954,-0.25376733,0.112799216
CNAG_04092,1.099410489,1.456409321,1.159878407,1.895046146,0.587683019
CNAG_04096,-0.068938139,1.169989862,0.985820855,-0.157342324,-0.053682094
CNAG_04103,-0.621833253,0.091142376,-0.522318315,-1.002862139,0.667377097
CNAG_04104,-0.336514097,-1.663278442,0.516778874,0.218192143,0.537323297
CNAG_04111,0.783961353,0.347282214,-0.642511916,1.328361774,1.252377591
CNAG_04116,0.043653837,0.739749274,-0.388059239,1.552911801,1.410655104
CNAG_04117,0.54525197,-0.158027722,0.106373454,0.765573963,-1.17843245
CNAG_04118,-3.090267813,-6.490113757,-6.559934353,-5.169702685,-5.545142643
CNAG_04126,0.931302172,0.149274953,0.519640624,1.047121857,-0.536261381
CNAG_04128,1.105176303,-0.203161796,0.132648158,0.216836719,1.411472907
CNAG_04136,-0.496683971,1.11833012,0.632475439,1.00028037,0.368535636
CNAG_04138,-0.430712269,0.86165274,-0.343626077,0.779673684,-0.230865484
CNAG_04154,0.141418235,-0.982118725,-1.132843549,-0.329176715,0.048392454
